Actual,Predicted
135.0,245.19293
116.00000000000001,290.80536
464.0,624.2229
160.0,380.91333
84.0,345.81573
193.0,415.16156
496.0,488.1863
1983.0,627.4488
323.0,269.03174
628.0,732.7828
1028.0,796.09985
60.0,392.8868
